Keyword,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,XS,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,S,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,M,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,L,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,XL,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,2XL,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,3XL,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,49.95,,,,,,,1555513411,,,,,,,Style,Hoodie Dress - Harry Potter Hoodie Dress,1,0,Size,4XL,,0,,,,
Bedding,variable,1555513411,Night Fury Light Fury Love Bedding Set,1,,visible,Night Fury Light Fury Love Bedding Set,"Night Fury Light Fury Love Bedding Set<br/>Bedding set comes with one duvet cover and two pillowcases.<br/>Comforter, bed sheet and pillow inserts are not included.<br/>Features a single-sided full color print on luxurious brushed polyester fabric.<br/>Constructed with cozy yet lightweight premium materials that are soft to touch.<br/>Tie-down corners to ensure secure placement of comforter insert.<br/>Machine washable with cold water gentle cycle and mild detergent.",,,taxable, ,1,,,,,,,,,1,,,,bedding,,,"https://pod-product.s3.amazonaws.com/012000x13000-2-3-mc.jpg,https://pod-product.s3.amazonaws.com/artt1704346.jpg,https://pod-product.s3.amazonaws.com/arts1704346.jpg,https://pod-product.s3.amazonaws.com/artk1704346.jpg",,,,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,"US Twin,US Queen/Full,US King,US California King,AU Single,AU Double,AU Queen,AU King,UK Single,UK Double,UK King,UK Super King",1,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,94.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,US Twin,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,99.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,US Queen/Full,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,104.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,US King,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,109.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,US California King,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,94.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,AU Single,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,99.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,AU Double,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,104.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,AU Queen,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,109.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,AU King,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,94.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,UK Single,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,99.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,UK Double,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,104.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,UK King,,0,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,109.95,,,,,,,1555513411,,,,,,,Style,Bedding Set - Black - Night Fury Light Fury Love Bedding Set,1,0,Size,UK Super King,,0,,,,
